Rainfall,Year,Month
78.5739,1973,Oct
10.9832,1973,Nov
7.60864,1973,Dec
4.66362,1974,Jan
8.69627,1974,Feb
69.1268,1974,Mar
35.1558,1974,Apr
146.693,1974,May
82.835,1974,Jun
158.212,1974,Jul
128.678,1974,Aug
111.231,1974,Sep
34.1303,1974,Oct
5.37837,1974,Nov
3.84494,1974,Dec
14.2516,1975,Jan
18.2682,1975,Feb
21.1387,1975,Mar
83.8535,1975,Apr
86.8876,1975,May
117.399,1975,Jun
151.073,1975,Jul
196.506,1975,Aug
130.825,1975,Sep
50.2388,1975,Oct
15.427,1975,Nov
10.0082,1975,Dec
6.09377,1976,Jan
15.194,1976,Feb
36.8903,1976,Mar
100.184,1976,Apr
162.019,1976,May
115.12,1976,Jun
112.975,1976,Jul
126.577,1976,Aug
97.3338,1976,Sep
56.2036,1976,Oct
60.2719,1976,Nov
11.1245,1976,Dec
28.7137,1977,Jan
11.6666,1977,Feb
34.2027,1977,Mar
99.6863,1977,Apr
109.335,1977,May
73.1385,1977,Jun
126.278,1977,Jul
137.329,1977,Aug
80.581,1977,Sep
194.646,1977,Oct
51.6088,1977,Nov
7.24545,1977,Dec
3.8485,1978,Jan
42.8427,1978,Feb
31.9595,1978,Mar
71.3569,1978,Apr
81.9001,1978,May
68.1109,1978,Jun
114.498,1978,Jul
117.979,1978,Aug
94.5043,1978,Sep
100.345,1978,Oct
22.86,1978,Nov
13.4592,1978,Dec
43.6434,1979,Jan
18.8235,1979,Feb
51.5238,1979,Mar
51.8742,1979,Apr
106.845,1979,May
83.3824,1979,Jun
133.214,1979,Jul
103.4,1979,Aug
76.2825,1979,Sep
61.8099,1979,Oct
14.4462,1979,Nov
12.1459,1979,Dec
15.6015,1980,Jan
10.009,1980,Feb
26.4137,1980,Mar
83.2814,1980,Apr
90.8381,1980,May
64.9727,1980,Jun
122.121,1980,Jul
125.279,1980,Aug
69.3849,1980,Sep
55.5912,1980,Oct
21.9892,1980,Nov
2.77788,1980,Dec
1.49284,1981,Jan
10.4468,1981,Feb
91.3677,1981,Mar
118.816,1981,Apr
69.6531,1981,May
37.8563,1981,Jun
133.63,1981,Jul
161.408,1981,Aug
93.0072,1981,Sep
46.583,1981,Oct
18.8223,1981,Nov
3.75355,1981,Dec
19.1537,1982,Jan
28.4936,1982,Feb
49.4145,1982,Mar
88.3511,1982,Apr
144.199,1982,May
60.6126,1982,Jun
89.6443,1982,Jul
123.654,1982,Aug
78.482,1982,Sep
148.538,1982,Oct
72.0826,1982,Nov
15.4445,1982,Dec
6.68702,1983,Jan
20.6201,1983,Feb
28.8651,1983,Mar
97.8653,1983,Apr
141.978,1983,May
71.5544,1983,Jun
119.271,1983,Jul
135.835,1983,Aug
102.158,1983,Sep
74.7338,1983,Oct
23.5218,1983,Nov
3.37415,1983,Dec
3.76527,1984,Jan
2.36368,1984,Feb
15.5121,1984,Mar
33.229,1984,Apr
120.659,1984,May
84.2392,1984,Jun
123.321,1984,Jul
74.7302,1984,Aug
98.5577,1984,Sep
